season,round,race_name,circuit_id,race_date,driver_id,driver_code,constructor_id,finish_position,grid_position,status,points
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,webber,WEB,red_bull,5,7,Finished,10.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,rosberg,ROS,mercedes,6,10,Finished,8.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,kubica,KUB,renault,7,8,Finished,6.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,buemi,BUE,toro_rosso,8,15,+1 Lap,4.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,liuzzi,LIU,force_india,9,5,+1 Lap,2.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,sutil,SUT,force_india,10,9,+1 Lap,1.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,michael_schumacher,MSC,mercedes,11,13,+1 Lap,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,alguersuari,ALG,toro_rosso,12,16,+1 Lap,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,hulkenberg,HUL,williams,13,12,+1 Lap,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,barrichello,BAR,williams,14,11,+1 Lap,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,massa,MAS,ferrari,15,6,+1 Lap,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,kovalainen,KOV,lotus_racing,16,19,+2 Laps,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,petrov,PET,renault,17,14,+2 Laps,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,chandhok,CHA,hrt,18,24,+4 Laps,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,grassi,DIG,virgin,19,23,+5 Laps,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,glock,GLO,virgin,20,21,Mechanical,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,trulli,TRU,lotus_racing,21,20,Brakes,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,rosa,DLR,sauber,22,17,Engine,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,bruno_senna,SEN,hrt,23,22,Hydraulics,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,kobayashi,KOB,sauber,24,18,Accident,0.0
2010,9,European Grand Prix,valencia,2010-06-27,vettel,VET,red_bull,1,1,Finished,25.0
2010,9,European Grand Prix,valencia,2010-06-27,hamilton,HAM,mclaren,2,3,Finished,18.0
2010,9,European Grand Prix,valencia,2010-06-27,button,BUT,mclaren,3,7,Finished,15.0
2010,9,European Grand Prix,valencia,2010-06-27,barrichello,BAR,williams,4,9,Finished,12.0
2010,9,European Grand Prix,valencia,2010-06-27,kubica,KUB,renault,5,6,Finished,10.0
2010,9,European Grand Prix,valencia,2010-06-27,sutil,SUT,force_india,6,13,Finished,8.0
2010,9,European Grand Prix,valencia,2010-06-27,kobayashi,KOB,sauber,7,18,Finished,6.0
2010,9,European Grand Prix,valencia,2010-06-27,alonso,ALO,ferrari,8,4,Finished,4.0
2010,9,European Grand Prix,valencia,2010-06-27,buemi,BUE,toro_rosso,9,11,Finished,2.0
2010,9,European Grand Prix,valencia,2010-06-27,rosberg,ROS,mercedes,10,12,Finished,1.0
2010,9,European Grand Prix,valencia,2010-06-27,massa,MAS,ferrari,11,5,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,rosa,DLR,sauber,12,16,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,alguersuari,ALG,toro_rosso,13,17,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,petrov,PET,renault,14,10,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,michael_schumacher,MSC,mercedes,15,15,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,liuzzi,LIU,force_india,16,14,Finished,0.0
2010,9,European Grand Prix,valencia,2010-06-27,grassi,DIG,virgin,17,21,+1 Lap,0.0
2010,9,European Grand Prix,valencia,2010-06-27,chandhok,CHA,hrt,18,23,+2 Laps,0.0
2010,9,European Grand Prix,valencia,2010-06-27,glock,GLO,virgin,19,22,+2 Laps,0.0
2010,9,European Grand Prix,valencia,2010-06-27,bruno_senna,SEN,hrt,20,24,+2 Laps,0.0
2010,9,European Grand Prix,valencia,2010-06-27,trulli,TRU,lotus_racing,21,19,+4 Laps,0.0
2010,9,European Grand Prix,valencia,2010-06-27,hulkenberg,HUL,williams,22,8,Exhaust,0.0
2010,9,European Grand Prix,valencia,2010-06-27,kovalainen,KOV,lotus_racing,23,20,Collision,0.0
